Date,XRP-USD
2024-12-23,2.2572619915008545
2024-12-24,2.3246240615844727
2024-12-25,2.2959699630737305
2024-12-26,2.154339075088501
2024-12-27,2.1416499614715576
2024-12-28,2.180824041366577
2024-12-29,2.093179941177368
2024-12-30,2.0575709342956543
2024-12-31,2.0801279544830322
2025-01-01,2.322340965270996
2025-01-02,2.403369903564453
2025-01-03,2.4528961181640625
2025-01-04,2.4195950031280518
2025-01-05,2.3997271060943604
2025-01-06,2.418807029724121
2025-01-07,2.2723500728607178
2025-01-08,2.375304937362671
2025-01-09,2.275212049484253
2025-01-10,2.343251943588257
2025-01-11,2.576770067214966
2025-01-12,2.5063140392303467
2025-01-13,2.522934913635254
2025-01-14,2.669132947921753
2025-01-15,3.155057907104492
2025-01-16,3.245539903640747
2025-01-17,3.2986350059509277
2025-01-18,3.2740190029144287
2025-01-19,2.954716920852661
2025-01-20,3.09983491897583
2025-01-21,3.1693999767303467
2025-01-22,3.171104907989502
2025-01-23,3.1198909282684326
2025-01-24,3.103482961654663
2025-01-25,3.109705924987793
2025-01-26,3.0262279510498047
2025-01-27,3.053184986114502
2025-01-28,3.06112003326416
2025-01-29,3.068294048309326
2025-01-30,3.1310689449310303
2025-01-31,3.0354199409484863
2025-02-01,2.8844690322875977
2025-02-02,2.5797948837280273
2025-02-03,2.7011559009552
2025-02-04,2.5354249477386475
2025-02-05,2.382314920425415
2025-02-06,2.3268799781799316
2025-02-07,2.393583059310913
2025-02-08,2.4243760108947754
2025-02-09,2.396939992904663
2025-02-10,2.422696113586426
2025-02-11,2.4142160415649414
2025-02-12,2.472835063934326
2025-02-13,2.5625150203704834
2025-02-14,2.7401959896087646
2025-02-15,2.76157808303833
2025-02-16,2.7278249263763428
2025-02-17,2.658273935317993
2025-02-18,2.558877944946289
2025-02-19,2.7408010959625244
2025-02-20,2.6908280849456787
2025-02-21,2.5701398849487305
2025-02-22,2.5757060050964355
2025-02-23,2.5770199298858643
2025-02-24,2.2779290676116943
2025-02-25,2.3207170963287354
2025-02-26,2.1924350261688232
2025-02-27,2.198647975921631
2025-02-28,2.145595073699951
2025-03-01,2.190603017807007
2025-03-02,2.9369421005249023
2025-03-03,2.385741949081421
2025-03-04,2.455146074295044
2025-03-05,2.500509023666382
2025-03-06,2.601728916168213
2025-03-07,2.3816239833831787
2025-03-08,2.323438882827759
2025-03-09,2.1345760822296143
2025-03-10,2.018294095993042
2025-03-11,2.1669158935546875
2025-03-12,2.240755081176758
2025-03-13,2.2510080337524414
2025-03-14,2.356442928314209
2025-03-15,2.393238067626953
2025-03-16,2.2978670597076416
2025-03-17,2.3406379222869873
2025-03-18,2.2869598865509033
2025-03-19,2.5458409786224365
2025-03-20,2.434674024581909
2025-03-21,2.3792779445648193
2025-03-22,2.369823932647705
2025-03-23,2.435492992401123
2025-03-24,2.448162078857422
2025-03-25,2.451349973678589
2025-03-26,2.349087953567505
2025-03-27,2.3382740020751953
2025-03-28,2.204137086868286
2025-03-29,2.139949083328247
2025-03-30,2.1361429691314697
2025-03-31,2.0898969173431396
2025-04-01,2.139611005783081
2025-04-02,2.1323676109313965
